Πρόγραμμα 'Καλλικράτης' (Ενημερώσεις μέχρι 31/12/2010),,,,
"(1) ΕΠΙΠΕΔΑ: 1=Μεγάλες γεωγραφικές ενότητες, 2=Αποκεντρωμένες Διοικήσεις, 3=Περιφέρειες, 4=Περιφεριακές ενότητες, 5=Δήμοι, 6=Δημοτικές Ενότητες, 7=Δημοτικές/Τοπικές Κοινότητες, 8=Οικισμοί",,,,
"(2) ΚΩΔΙΚΟΙ για:  Μεγάλες γεωγραφικές ενότητες, Αποκεντρωμένες Διοικήσεις, Περιφέρειες",,,,
,Επίπεδο (1),Κωδικοί,,Περιγραφή 
α/α,,(2), Κωδικός ΚΑΛΛΙΚΡΑΤΗ,
,,,,
432,8,111,0204020102,"Μαρμαριά,η"
433,8,111,0204020103,"Μικρολιβάδιον,το"
434,7,111,02040202,Τοπική Κοινότητα Αδριανής
435,8,111,0204020201,"Αδριανή,η"
436,7,111,02040203,Τοπική Κοινότητα Άνω Πυξαρίου
437,8,111,0204020301,"Άνω Πυξάριον,το"
438,8,111,0204020302,"Γύρος,ο"
439,8,111,0204020303,"Τείχος,το"
440,8,111,0204020304,"Υψηλόκαστρον,το"
441,7,111,02040204,Τοπική Κοινότητα Πλατανιάς
442,8,111,0204020401,"Πλατανιά,η"
443,8,111,0204020402,"Θαμνωτόν,το"
444,8,111,0204020403,"Μαυροκορδάτος,ο"
445,8,111,0204020404,"Πελεκητή,η"
446,8,111,0204020405,"Πρινόλοφος,ο"
447,7,111,02040205,Τοπική Κοινότητα Πλατανόβρυσης
448,8,111,0204020501,"Παλιάμπελα,τα"
449,8,111,0204020502,"Δρυμότοπος,ο"
450,8,111,0204020503,"Πλατανόβρυση,η"
451,8,111,0204020504,"Τερψιθέα,η"
452,8,111,0204020505,"Χαμοκέρασα,τα"
453,7,111,02040206,Τοπική Κοινότητα Πτελέας Πλατανιάς
454,8,111,0204020601,"Πτελέα,η"
455,7,111,02040207,Τοπική Κοινότητα Υψηλής Ράχης
456,8,111,0204020701,"Υψηλή Ράχη,η"
457,5,111,0205,ΔΗΜΟΣ ΠΡΟΣΟΤΣΑΝΗΣ
458,6,111,020501,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΡΟΣΟΤΣΑΝΗΣ
459,7,111,02050101,Δημοτική Κοινότητα Προσοτσάνης
460,8,111,0205010101,"Προσοτσάνη,η"
461,7,111,02050102,Τοπική Κοινότητα Ανθοχωρίου
462,8,111,0205010201,"Ανθοχώριον,το"
463,7,111,02050103,Τοπική Κοινότητα Γραμμένης
464,8,111,0205010301,"Γραμμένη,η"
465,7,111,02050104,Τοπική Κοινότητα Καλής Βρύσης
466,8,111,0205010401,"Καλή Βρύση,η"
467,7,111,02050105,Τοπική Κοινότητα Καλλιθέας
468,8,111,0205010501,"Καλλιθέα,η"
469,7,111,02050106,Τοπική Κοινότητα Κοκκινογείων
470,8,111,0205010601,"Κοκκινόγεια,τα"
471,8,111,0205010602,"Αγγίτης,ο"
472,8,111,0205010603,"Πηγαί,αι"
473,7,111,02050107,Τοπική Κοινότητα Μικροπόλεως
474,8,111,0205010701,"Μικρόπολις,η"
475,7,111,02050108,Τοπική Κοινότητα Πανοράματος
476,8,111,0205010801,"Πανόραμα,το"
477,7,111,02050109,Δημοτική Κοινότητα Πετρούσσης
478,8,111,0205010901,"Πετρούσσα,η"
479,8,111,0205010902,"Σταυρός,ο"
480,7,111,02050110,Τοπική Κοινότητα Πύργων
481,8,111,0205011001,"Πύργοι,οι"
482,7,111,02050111,Τοπική Κοινότητα Χαριτωμένης
483,8,111,0205011101,"Χαριτωμένη,η"
484,6,111,020502,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΙΤΑΓΡΩΝ
485,7,111,02050201,Τοπική Κοινότητα Φωτολίβους
486,8,111,0205020101,"Φωτολίβος,το"
487,7,111,02050202,Τοπική Κοινότητα Αργυρούπολις
488,8,111,0205020201,"Αργυρούπολις,η"
489,7,111,02050203,Τοπική Κοινότητα Μαυρολεύκης
490,8,111,0205020301,"Μαυρολεύκη,η"
491,7,111,02050204,Τοπική Κοινότητα Μεγαλοκάμπου
492,8,111,0205020401,"Μεγαλόκαμπος,ο"
493,7,111,02050205,Τοπική Κοινότητα Μικροκάμπου
494,8,111,0205020501,"Μικρόκαμπος,ο"
495,7,111,02050206,Τοπική Κοινότητα Περιχώρας
496,8,111,0205020601,"Περιχώρα,η"
497,8,111,0205020602,"Άγιος Μηνάς,ο"
498,7,111,02050207,Τοπική Κοινότητα Σιταγρών
499,8,111,0205020701,"Σιταγροί,οι"
500,4,111,03,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΕΒΡΟΥ
501,5,111,0301,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ
502,6,111,030101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ
503,7,111,03010101,Δημοτική Κοινότητα Αλεξανδρούπολης
504,8,111,0301010101,"Αλεξανδρούπολις,η"
505,8,111,0301010102,"Αγνάντια,η"
506,8,111,0301010103,"Αμφιτρίτη,η"
507,7,111,03010102,Τοπική Κοινότητα Άβαντος
508,8,111,0301010201,"Άβας,ο"
509,7,111,03010103,Τοπική Κοινότητα Αισύμης
510,8,111,0301010301,"Αισύμη,η"
511,8,111,0301010302,"Λεπτοκαρυά,η"
512,7,111,03010104,Τοπική Κοινότητα Κίρκης
513,8,111,0301010401,"Κίρκη,ο"
514,7,111,03010105,Τοπική Κοινότητα Μάκρης
515,8,111,0301010501,"Μάκρη,η"
516,8,111,0301010502,"Δίκελλα,τα"
517,8,111,0301010503,"Έννατο,το"
518,8,111,0301010504,"Κοίμηση Θεοτόκου,η"
519,8,111,0301010505,"Μεσημβρία,η"
520,8,111,0301010506,"Πανόραμα,το"
521,8,111,0301010507,"Παραλία Δικελλών,η"
522,8,111,0301010508,"Πλάκα,η"
523,7,111,03010106,Τοπική Κοινότητα Συκορράχης
524,8,111,0301010601,"Συκορράχη,η"
525,8,111,0301010602,"Ατάρνη,η"
526,8,111,0301010603,"Αύρα,η"
527,8,111,0301010604,"Κόμαρος,η"
528,8,111,0301010605,"Μέστη,η"
529,8,111,0301010606,"Πέραμα,το"
530,8,111,0301010607,"Σταθμός,ο"
531,6,111,030102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΡΑΪΑΝΟΥΠΟΛΗΣ
532,7,111,03010201,Τοπική Κοινότητα Ανθείας
533,8,111,0301020101,"Αρίστηνον,το"
534,8,111,0301020102,"Άνθεια,η"
535,7,111,03010202,Τοπική Κοινότητα Δωρικού
536,8,111,0301020201,"Δωρικόν,το"
537,8,111,0301020202,"Αετοχώριον,το"
538,7,111,03010203,Τοπική Κοινότητα Λουτρού
539,8,111,0301020301,"Λουτρός,ο"
540,8,111,0301020302,"Λουτρά Τραϊανουπόλεως,τα"
541,8,111,0301020303,"Πεύκα,τα"
542,7,111,03010204,Τοπική Κοινότητα Νίψης
543,8,111,0301020401,"Νίψα,η"
544,6,111,030103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΕΡΩΝ
545,7,111,03010301,Δημοτική Κοινότητα Φερών
546,8,111,0301030101,"Φέραι,αι"
547,8,111,0301030102,"Πόρος,ο"
548,7,111,03010302,Τοπική Κοινότητα Αρδανίου
549,8,111,0301030201,"Αρδάνιον,το"
550,7,111,03010303,Τοπική Κοινότητα Δορίσκου
551,8,111,0301030301,"Δορίσκος,ο"
552,8,111,0301030302,"Μοναστηράκιον,το"
553,7,111,03010304,Τοπική Κοινότητα Καβησού
554,8,111,0301030401,"Καβησός,η"
555,7,111,03010305,Δημοτική Κοινότητα Πέπλου
556,8,111,0301030501,"Πέπλος,ο"
557,8,111,0301030502,"Βρυσούλα,η"
558,8,111,0301030503,"Γεμιστή,η"
559,8,111,0301030504,"Κήποι,οι"
560,7,111,03010306,Τοπική Κοινότητα Πυλαίας
561,8,111,0301030601,"Πυλαία,η"
562,8,111,0301030602,"Κοίλα,τα"
563,8,111,0301030603,"Μελία,η"
564,7,111,03010307,Τοπική Κοινότητα Τριφυλλίου
565,8,111,0301030701,"Τριφύλλιον,το"
566,8,111,0301030702,"Ιτέα,η"
567,5,111,0302,ΔΗΜΟΣ ΔΙΔΥΜΟΤΕΙΧΟΥ
568,6,111,030201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΔΙΔΥΜΟΤΕΙΧΟΥ
569,7,111,03020101,Δημοτική Κοινότητα Διδυμοτείχου
570,8,111,0302010101,"Διδυμότειχον,το"
571,8,111,0302010102,"Ζωοδόχος Πηγή,η"
572,8,111,0302010103,"Νέοι Ψαθάδες,οι"
573,7,111,03020102,Τοπική Κοινότητα Ασβεστάδων
574,8,111,0302010201,"Ασβεστάδες,οι"
575,7,111,03020103,Τοπική Κοινότητα Ασημένιου
576,8,111,0302010301,"Ασημένιον,το"
577,7,111,03020104,Δημοτική Κοινότητα Ελληνοχωρίου
578,8,111,0302010401,"Ελληνοχώριον,το"
579,8,111,0302010402,"Θυρέα,η"
580,8,111,0302010403,"Λαγός,ο"
581,7,111,03020105,Τοπική Κοινότητα Ισαακίου
582,8,111,0302010501,"Ισαάκιον,το"
583,7,111,03020106,Τοπική Κοινότητα Καρωτής
584,8,111,0302010601,"Καρωτή,η"
585,7,111,03020107,Τοπική Κοινότητα Κουφοβούνου
586,8,111,0302010701,"Κουφόβουνον,το"
587,7,111,03020108,Τοπική Κοινότητα Κυανής
588,8,111,0302010801,"Κυανή,η"
589,7,111,03020109,Τοπική Κοινότητα Μάνης
590,8,111,0302010901,"Μάνη,η"
591,8,111,0302010902,"Ευγενικόν,το"
592,8,111,0302010903,"Σιταριά,η"
593,7,111,03020110,Τοπική Κοινότητα Πετράδων
594,8,111,0302011001,"Πετράδες,οι"
595,7,111,03020111,Τοπική Κοινότητα Ποιμενικού
596,8,111,0302011101,"Ποιμενικόν,το"
597,7,111,03020112,Τοπική Κοινότητα Πραγγίου
598,8,111,0302011201,"Πραγγίον,το"
599,7,111,03020113,Τοπική Κοινότητα Πυθίου
600,8,111,0302011301,"Πύθιον,το"
601,8,111,0302011302,"Ρήγιον,το"
602,8,111,0302011303,"Σταθμός,ο"
603,7,111,03020114,Τοπική Κοινότητα Σιτοχωρίου
604,8,111,0302011401,"Σιτοχώριον,το"
605,7,111,03020115,Τοπική Κοινότητα Σοφικό
606,8,111,0302011501,"Σοφικόν,το"
607,6,111,030202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΕΤΑΞΑΔΩΝ
608,7,111,03020201,Τοπική Κοινότητα Μεταξάδων
609,8,111,0302020101,"Μεταξάδες,οι"
610,8,111,0302020102,"Αβδέλλα,η"
611,7,111,03020202,Τοπική Κοινότητα Αλεποχωρίου
612,8,111,0302020201,"Αλεποχώριον,το"
613,8,111,0302020202,"Πολιά,η"
614,7,111,03020203,Τοπική Κοινότητα Ασπρονερίου
615,8,111,0302020301,"Ασπρονέριον,το"
616,8,111,0302020302,"Γιατράδες,οι"
617,7,111,03020204,Τοπική Κοινότητα Βρυσικών
618,8,111,0302020401,"Βρυσικά,τα"
619,8,111,0302020402,"Σαύρα,η"
620,7,111,03020205,Τοπική Κοινότητα Δόξης
621,8,111,0302020501,"Δόξα,η"
622,7,111,03020206,Τοπική Κοινότητα Ελαφοχωρίου
623,8,111,0302020601,"Ελαφοχώριον,το"
624,8,111,0302020602,"Βρύση,η"
625,8,111,0302020603,"Χιονάδες,αι"
626,7,111,03020207,Τοπική Κοινότητα Λάδης
627,8,111,0302020701,"Λάδη,η"
628,7,111,03020208,Τοπική Κοινότητα Παλιουρίου
629,8,111,0302020801,"Παλιούριον,το"
630,5,111,0303,ΔΗΜΟΣ ΟΡΕΣΤΙΑΔΑΣ
631,6,111,030301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΟΡΕΣΤΙΑΔΟΣ
632,7,111,03030101,Δημοτική Κοινότητα Ορεστιάδος
633,8,111,0303010101,"Ορεστιάς,η"
634,8,111,0303010102,"Λεπτή,η"
635,8,111,0303010103,"Νέος Πύργος,ο"
636,8,111,0303010104,"Παλαιά Σαγήνη,η"
637,8,111,0303010105,"Σάκκος,ο"
638,7,111,03030102,Τοπική Κοινότητα Αμπελακίων
639,8,111,0303010201,"Αμπελάκια,τα"
640,7,111,03030103,Τοπική Κοινότητα Βάλτου
641,8,111,0303010301,"Βάλτος,ο"
642,7,111,03030104,Τοπική Κοινότητα Θουρίου
643,8,111,0303010401,"Θούριον,το"
644,7,111,03030105,Τοπική Κοινότητα Μεγάλης Δοξιπάρας
645,8,111,0303010501,"Μεγάλη Δοξιπάρα,η"
646,7,111,03030106,Τοπική Κοινότητα Νέου Χειμωνίου
647,8,111,0303010601,"Νέον Χειμώνιον,το"
648,7,111,03030107,Τοπική Κοινότητα Νεοχωρίου
649,8,111,0303010701,"Νεοχώριον,το"
650,8,111,0303010702,"Παταγή,η"
651,7,111,03030108,Τοπική Κοινότητα Χανδρά
652,8,111,0303010801,"Χανδράς,ο"
653,6,111,030302,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΒΥΣΣΑΣ
654,7,111,03030201,Δημοτική Κοινότητα Νέας Βύσσης
655,8,111,0303020101,"Νέα Βύσσα,η"
656,7,111,03030202,Τοπική Κοινότητα Καβύλης
657,8,111,0303020201,"Καβύλη,η"
658,7,111,03030203,Τοπική Κοινότητα Καστανεών
659,8,111,0303020301,"Καστανέαι,αι"
660,7,111,03030204,Τοπική Κοινότητα Ριζίων
661,8,111,0303020401,"Ρίζια,τα"
662,7,111,03030205,Τοπική Κοινότητα Στέρνας
663,8,111,0303020501,"Στέρνα,η"
664,6,111,030303,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΥΠΡΙΝΟΥ
665,7,111,03030301,Τοπική Κοινότητα Κυπρίνος
666,8,111,0303030101,"Κυπρίνος,ο"
667,7,111,03030302,Τοπική Κοινότητα Γαλήνης
668,8,111,0303030201,"Γαλήνη,η"
669,7,111,03030303,Τοπική Κοινότητα Ζώνης
670,8,111,0303030301,"Ζώνη,η"
671,8,111,0303030302,"Μικρά Δοξιπάρα,η"
672,8,111,0303030303,"Χελιδών,η"
673,7,111,03030304,Τοπική Κοινότητα Φυλακίου
674,8,111,0303030401,"Φυλάκιον,το"
675,8,111,0303030402,"Αμμόβουνον,το"
676,8,111,0303030403,"Κέραμος,ο"
677,6,111,030304,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΡΙΓΩΝΟΥ
678,7,111,03030401,Τοπική Κοινότητα Δικαίων
679,8,111,0303040101,"Δίκαια,τα"
680,8,111,0303040102,"Δίλοφος,ο"
681,8,111,0303040103,"Κριός,ο"
682,8,111,0303040104,"Πάλλη,η"
683,7,111,03030402,Τοπική Κοινότητα Άρζου
684,8,111,0303040201,"Άρζος,ο"
685,8,111,0303040202,"Καναδάς,ο"
686,7,111,03030403,Τοπική Κοινότητα Ελαίας
687,8,111,0303040301,"Ελαία,η"
688,7,111,03030404,Τοπική Κοινότητα Θεραπειό
689,8,111,0303040401,"Θεραπειό,το"
690,7,111,03030405,Τοπική Κοινότητα Κομάρων
691,8,111,0303040501,"Κόμαρα,τα"
692,7,111,03030406,Τοπική Κοινότητα Μαρασίων
693,8,111,0303040601,"Μαράσια,τα"
694,7,111,03030407,Τοπική Κοινότητα Μηλέα
695,8,111,0303040701,"Μηλέα,η"
696,7,111,03030408,Τοπική Κοινότητα Ορμενίου
697,8,111,0303040801,"Ορμένιον,το"
698,7,111,03030409,Τοπική Κοινότητα Πενταλόφου
699,8,111,0303040901,"Πεντάλοφος,ο"
700,7,111,03030410,Τοπική Κοινότητα Πετρωτών
701,8,111,0303041001,"Πετρωτά,τα"
702,7,111,03030411,Τοπική Κοινότητα Πλάτης
703,8,111,0303041101,"Πλάτη,η"
704,7,111,03030412,Τοπική Κοινότητα Πτελέας
705,8,111,0303041201,"Πτελέα,η"
706,7,111,03030413,Τοπική Κοινότητα Σπηλαίου
707,8,111,0303041301,"Σπήλαιον,το"
708,5,111,0304,ΔΗΜΟΣ ΣΑΜΟΘΡΑΚΗΣ
709,8,111,0304000001,"Σαμοθράκη,η"
710,8,111,0304000002,"Αλώνια,τα"
711,8,111,0304000003,"Άνω Καρυώται,οι"
712,8,111,0304000004,"Άνω Μεριά,η"
713,8,111,0304000005,"Δάφνες,οι"
714,8,111,0304000006,"Θέρμα,τα"
715,8,111,0304000007,"Καμαριώτισσα,η"
716,8,111,0304000008,"Κατσαμπάς,ο"
717,8,111,0304000009,"Κάτω Καρυώται,οι"
718,8,111,0304000010,"Λάκκωμα,το"
719,8,111,0304000011,"Μακρυλιές,οι"
720,8,111,0304000012,"Μπαξέδες,οι"
721,8,111,0304000013,"Ξηροπόταμος,ο"
722,8,111,0304000014,"Παλαιόπολις,η"
723,8,111,0304000015,"Ποταμιά,η"
724,8,111,0304000016,"Προφήτης Ηλίας,ο"
725,5,111,0305,ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ
726,6,111,030501,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΟΥΦΛΙΟΥ
727,7,111,03050101,Δημοτική Κοινότητα Σουφλίου
728,8,111,0305010101,"Σουφλίον,το"
729,8,111,0305010102,"Γιαννούλη,η"
730,8,111,0305010103,"Σιδηρώ,η"
731,7,111,03050102,Τοπική Κοινότητα Δαδιάς
732,8,111,0305010201,"Δαδιά,η"
733,8,111,0305010202,"Κοτρωνιά,η"
734,8,111,0305010203,"Μονή Δαδιάς,η"
735,7,111,03050103,Τοπική Κοινότητα Κορνοφωλεάς
736,8,111,0305010301,"Κορνοφωλεά,η"
737,8,111,0305010302,"Μονή Κορνοφωλεάς,η"
738,7,111,03050104,Τοπική Κοινότητα Λαγυνών
739,8,111,0305010401,"Λαγυνά,τα"
740,7,111,03050105,Τοπική Κοινότητα Λυκόφωτος
741,8,111,0305010501,"Λυκόφως,το"
742,6,111,030502,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΟΡΦΕΑ
743,7,111,03050201,Τοπική Κοινότητα Λαβάρων
744,8,111,0305020101,"Λάβαρα,τα"
745,7,111,03050202,Τοπική Κοινότητα Αμορίου
746,8,111,0305020201,"Αμόριον,το"
747,7,111,03050203,Τοπική Κοινότητα Κυριακής
748,8,111,0305020301,"Κυριακή,η"
749,7,111,03050204,Τοπική Κοινότητα Μάνδρας
750,8,111,0305020401,"Μάνδρα,η"
751,7,111,03050205,Τοπική Κοινότητα Μαυροκκλησίου
752,8,111,0305020501,"Μαυροκκλήσιον,το"
753,8,111,0305020502,"Κόρυμβος,ο"
754,7,111,03050206,Δημοτική Κοινότητα Μικρού Δερείου
755,8,111,0305020601,"Μικρόν Δέρειον,το"
756,8,111,0305020602,"Γέρικον,το"
757,8,111,0305020603,"Γονικόν,το"
758,8,111,0305020604,"Μέγα Δέρειον,το"
759,8,111,0305020605,"Πετρόλοφος,ο"
760,8,111,0305020606,"Ρούσσα,η"
761,8,111,0305020607,"Σιδηροχώριον,το"
762,7,111,03050207,Τοπική Κοινότητα Πρωτοκκλησίου
763,8,111,0305020701,"Πρωτοκκλήσιον,το"
764,8,111,0305020702,"Αγριάνη,η"
765,6,111,030503,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΥΧΕΡΟΥ
766,7,111,03050301,Δημοτική Κοινότητα Τυχερού
767,8,111,0305030101,"Τυχερόν,το"
768,7,111,03050302,Τοπική Κοινότητα Λευκίμμης
769,8,111,0305030201,"Λευκίμμη,η"
770,7,111,03050303,Τοπική Κοινότητα Λύρας
771,8,111,0305030301,"Λύρα,η"
772,7,111,03050304,Τοπική Κοινότητα Προβατώνος
773,8,111,0305030401,"Προβατών,ο"
774,8,111,0305030402,"Θυμαριά,η"
775,8,111,0305030403,"Ταύρη,η"
776,7,111,03050305,Τοπική Κοινότητα Φυλακτού
777,8,111,0305030501,"Φυλακτόν,το"
778,4,111,04,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΑΣΟΥ
779,5,111,0401,ΔΗΜΟΣ ΘΑΣΟΥ
780,7,111,04010001,Δημοτική Κοινότητα Θάσου
781,8,111,0401000101,"Θάσος,η"
782,8,111,0401000102,"Γλυφάδα,η"
783,8,111,0401000103,"Μακρυάμμος,η"
784,7,111,04010002,Δημοτική Κοινότητα Θεολόγου
785,8,111,0401000201,"Θεολόγος,ο"
786,8,111,0401000202,"Αλυκή,η"
787,8,111,0401000203,"Αστρίς,η"
788,8,111,0401000204,"Θυμωνιά,η"
789,8,111,0401000205,"Κοίνυρα,η (νησίς)"
790,8,111,0401000206,"Κοίνυρα,τα"
791,8,111,0401000207,"Μονή Αρχαγγέλου,η"
792,8,111,0401000208,"Παλαιοχώριον,το"
793,8,111,0401000209,"Ποτός,ο"
794,7,111,04010003,Δημοτική Κοινότητα Καλλιράχης
795,8,111,0401000301,"Καλλιράχη,η"
796,8,111,0401000302,"Σκάλα Καλλιράχης,η"
797,7,111,04010004,Δημοτική Κοινότητα Λιμεναρίων
798,8,111,0401000401,"Κάστρον,το"
799,8,111,0401000402,"Λιμενάρια,τα"
800,7,111,04010005,Τοπική Κοινότητα Μαριών
801,8,111,0401000501,"Μαριαί,αι"
802,8,111,0401000502,"Σκάλα Μαριών,η"
803,7,111,04010006,Τοπική Κοινότητα Παναγίας
804,8,111,0401000601,"Παναγία,η"
805,8,111,0401000602,"Χρυσή Αμμουδιά,η"
806,7,111,04010007,Δημοτική Κοινότητα Ποταμιάς
807,8,111,0401000701,"Ποταμιά,η"
808,8,111,0401000702,"Λεύκη,η"
809,7,111,04010008,Δημοτική Κοινότητα Πρίνου
810,8,111,0401000801,"Μεγάλος Πρίνος,ο (τ.Πρίνος,ο)"
811,8,111,0401000802,"Ιερά Μονή Αγίου Παντελεήμονος,η"
812,8,111,0401000803,"Μικρός Πρίνος,ο"
813,8,111,0401000804,"Όρμος Πρίνου,ο"
814,8,111,0401000805,"Πρίνος,ο (τ.Καλύβαι,αι)"
815,7,111,04010009,Τοπική Κοινότητα Ραχωνίου
816,8,111,0401000901,"Ραχώνιον,το"
817,8,111,0401000902,"Άγιος Γεώργιος,ο (Δ.Δ.Ραχωνίου)"
818,8,111,0401000903,"Σκάλα Ραχωνίου,η"
819,7,111,04010010,Τοπική Κοινότητα Σωτήρος
820,8,111,0401001001,"Σκάλα Σωτήρος,η"
821,8,111,0401001002,"Σωτήρ,ο"
822,4,111,05,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ
823,5,111,0501,ΔΗΜΟΣ ΚΑΒΑΛΑΣ
824,6,111,050101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ
825,7,111,05010101,Δημοτική Κοινότητα Καβάλας
826,8,111,0501010101,"Καβάλα,η"
827,8,111,0501010102,"Άγιος Σύλλας,ο"
828,8,111,0501010103,"Άσπρη Άμμος,η"
829,8,111,0501010104,"Παλαιόν Τσιφλίκιον,το"
830,8,111,0501010105,"Σανατόριον,το"
831,7,111,05010102,Δημοτική Κοινότητα Νέας Καρβάλης
832,8,111,0501010201,"Νέα Καρβάλη,η"
833,8,111,0501010202,"Άνω Λεύκη,η"
834,8,111,0501010203,"Λεύκη,η"
